"","Symbol","Quantity","Price","Market.Value","Cost.Basis","Reinvest","Description","Security.Type","Datetime"
1,"SCHA",137,73.169998,10024.289726,10024.289726,"No","Schwab U.S. Small-Cap ETF","ETFs & Closed End Funds","2018-01-27 01:23 PM ET"
2,"SCHB",145,69.07,10015.15,10015.15,"No","Schwab U.S. Broad Market ETF","ETFs & Closed End Funds","2018-01-27 01:23 PM ET"
3,"SCHC",256,39.110001,10012.160256,10012.160256,"No","Schwab International Small-Cap Equity ETF","ETFs & Closed End Funds","2018-01-27 01:23 PM ET"
4,"SCHD",184,54.580002,10042.720368,10042.720368,"No","Schwab US Dividend Equity ETF","ETFs & Closed End Funds","2018-01-27 01:23 PM ET"
5,"SCHE",322,31.08,10007.76,10007.76,"No","Schwab Emerging Markets Equity ETF","ETFs & Closed End Funds","2018-01-27 01:23 PM ET"
6,"SCHF",276,36.349998,10032.599448,10032.599448,"No","Schwab International Equity ETF","ETFs & Closed End Funds","2018-01-27 01:23 PM ET"
7,"SCHG",131,76.830002,10064.730262,10064.730262,"No","Schwab U.S. Large-Cap Growth ETF","ETFs & Closed End Funds","2018-01-27 01:23 PM ET"
8,"SCHH",250,40.060001,10015.00025,10015.00025,"No","Schwab US REIT ETF","ETFs & Closed End Funds","2018-01-27 01:23 PM ET"
9,"SCHK",356,28.125999,10012.855644,10012.855644,"No","Schwab 1000 Index ETF","ETFs & Closed End Funds","2018-01-27 01:23 PM ET"
10,"SCHM",178,56.220001,10007.160178,10007.160178,"No","Schwab US Mid-Cap ETF","ETFs & Closed End Funds","2018-01-27 01:23 PM ET"
11,"SCHO",201,49.880001,10025.880201,10025.880201,"No","Schwab Short-Term U.S. Treasury ETF","ETFs & Closed End Funds","2018-01-27 01:23 PM ET"
12,"SCHP",182,55.029999,10015.459818,10015.459818,"No","Schwab U.S. TIPS ETF","ETFs & Closed End Funds","2018-01-27 01:23 PM ET"
13,"SCHR",190,52.790001,10030.10019,10030.10019,"No","Schwab Intermediate-Term U.S. Treasury ETF","ETFs & Closed End Funds","2018-01-27 01:23 PM ET"
14,"SCHV",173,58,10034,10034,"No","Schwab U.S. Large-Cap Value ETF","ETFs & Closed End Funds","2018-01-27 01:23 PM ET"
15,"SCHX",147,68.43,10059.21,10059.21,"No","Schwab U.S. Large-Cap ETF","ETFs & Closed End Funds","2018-01-27 01:23 PM ET"
16,"SCHZ",194,51.599998,10010.399612,10010.399612,"No","Schwab U.S. Aggregate Bond ETF","ETFs & Closed End Funds","2018-01-27 01:23 PM ET"
